Year,Institution,RealKey,Citationkey,Refnumber,Vo_min,Vo_max,Vin_min,Vin_max,fs_min,fs_max,Power,Density,Eff_pk,Eff_avg
,Industry Vitesco Technologies,XPFQFC7Y,noauthor_vitesco_nodate-3,68,8,16,245,450,,,3.6,1.5,,
,,TIUSW488,noauthor_vitesco_nodate-2,69,,,,,,,,,,
,Industry Inovance Auomotive,SQ9DMVJA,noauthor_pc32_power_nodate,70,,,,,,,,,,
,Industry Inovance Auomotive,7YZ6IBGD,noauthor_pc41_power_nodate,71,,,,,,,,,,
2018,Industry Inovance Auomotive,JD6ZEGEX,noauthor_pp30_power_2018,72,9,16,180,480,,,3,,0.975,0.955
,Industry Inovance Auomotive,9GHGB9V5,noauthor_pc36_power_nodate,73,,,,,,,,,,
,,J6B93Z94,noauthor_charger-converter_nodate,74,,,,,,,,,,
2021,Industry BOSCH,TW9UHIWR,noauthor_high-voltage_2021,75,10.5,15.5,240,475,,,3.6,,0.95,0.922
,,TJUGTU74,noauthor_integrate_nodate,76,,,,,,,,,,
,,QTTL4IRQ,noauthor_crd-60dd12n-k_nodate,77,,,,,,,,,,
,Industry ev mobility,PT3PV3TK,noauthor_dc_nodate,78,6,18,200,420,,,1.5,0.251,0.951,0.92
,,7HDK2J6R,noauthor_ev_nodate,79,,,,,,,,,,
2021,Industry Delta,GVWAASJU,noauthor_400v_2021,80,9,16,200,480,,,2.5,1.785,0.953,0.921
,,D4ARSWJP,noauthor_48v_nodate,81,,,,,,,,,,
2023,Industry Eaton,MAKMQZP3,noauthor_high-voltage_2023,82,12,16,225,455,,,3,0.645,0.941,0.927
2022,Industry Delta,ELZN8M3R,noauthor_800v_2022,83,9,16,390,935,,,3,,,0.955
,,BWUL3IEC,noauthor_learn_nodate,84,,,,,,,,,,
2024,Industry Vicor,B6AIILXE,greg_unprecedented_2024,85,,,,,,,,,,
2024,Industry Vicor,P2FHZBZ2,noauthor_power_2024,86,13.8,,800,,1300,,4,5.22,0.95,0.95
,,GN3Q6FPI,noauthor_automotive_nodate,87,,,,,,,,,,
,,QJZ8VFCI,choi_optimize_nodate,88,,,,,,,,,,
,Industry AstrodyneTDI,FE8YUYXZ,noauthor_lsm4k0-400-2_nodate,89,22,30,290,430,,,4,1.16,0.94,0.95
,Industry Bel Fuse Inc,LSG4VF7S,noauthor_350dnc40-12_nodate,90,9,16,240,430,,,4,0.632,0.93,0.91
2023,Industry Bel Fuse Inc,CEGEGETG,noauthor_700dng40-24-8_2023,91,20,30,450,900,,,4,0.776,0.95,0.91
2023,Industry BRUSA HyPower,IX2DTSW5,noauthor_bsc6xx_2023,92,8,16,220,450,,,2.8,0.889,0.944,0.92
,,GYZNK83S,noauthor_bsc7xx_nodate,93,,,,,,,,,,
,Industry BRUSA HyPower,GE2Z6K5P,noauthor_dcdc_nodate-2,94,,,,,,,,,,
,Industry BorgWarner,XSEV2QY2,noauthor_gen5_nodate,95,12,,220,800,,,1.2,0.242,0.93,0.92
2015,,UI27D7B2,xuewei_naturally_2015,96,,,,,,,,,,
2019,,TQHUQYIR,lim_phase-shifted_2019,97,,,,,,,,,,
2023,,FEMNLBC3,zou_gan_2023,98,,,,,,,,,,
2022,,CNENCE9U,sun_total_2022,99,,,,,,,,,,
2022,Industry Navitas,82Z6T75S,minli_gan-based_2022,100,,,,,,,,,,
2023,Industry Navitas,QSETZB6W,jia_gan-based_2023,101,9,16,280,460,60,,3,3.9,0.966,0.93
2024,,MDG46CGQ,carvalho_comparative_2024,102,,,,,,,,,,
2023,,EEMPKKQ3,xu_family_2023,103,,,,,,,,,,
2021,,GWQ2UJFG,gu_hybrid-pwm-controlled_2021,104,,,,,,,,,,
2024,,UKW2V2W6,pei_phase-shift_2024,105,,,,,,,,,,
2023,,RFBW2VFB,qiu_dynamic_2023,106,,,,,,,,,,
2020,POSTECH,Q3R9ISTP,bai_highly_2020,107,400,,250,415,50,,3.3,,0.978,0.955
2017,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,MUK93ATQ,liu_implementation_2017,108,,,,,,,,,,
2024,,7YRU3PER,gu_interleaved_2024,109,,,,,,,,,,
2019,,P2LUIBFV,han_general_2019,110,,,,,,,,,,
2019,,74E3N7FG,han_wide-range_2019,111,,,,,,,,,,
2024,,ZVD3CMH8,gurudiwan_zvs_2024,112,,,,,,,,,,
2012,,NJE4Q6JC,corradini_minimum_2012,113,,,,,,,,,,
2024,,H9NBVZ42,gao_low-side-extended-phase-shift-under-resonant_2024,114,,,,,,,,,,
2021,,ATET4KMW,kim_highly_2021,115,48,72,380,,50,,1,,0.97,0.959
2021,Industry Delta,92MV2RPZ,kim_pwm-controlled_2021,116,200,950,800,,60,,3,,0.9854,0.95
2012,,J2H9K8GY,lee_analysis_2012,117,,,,,,,,,,
2024,Industry BrightLoop,T86NNX25,noauthor_dcdc_2024-2,118,9,56,200,950,,,9.6,3.2,0.96,0.94
2024,,4WDLXTQF,noauthor_brightloop_2024,119,,,,,,,,,,
,Industry Vitesco Technologies,IM85GF8T,noauthor_vitesco_nodate,120,12,48,400,800,,,4,4.5,,
,,IBVBCEV8,noauthor_hella_nodate,121,,,,,,,,,,
2024,Industry BrightLoop,PE86SFTA,noauthor_dcdc_2024-1,122,9,56,200,950,,,4.8,2.38,0.96,0.94
2024,Industry BrightLoop,KGKHRV8S,noauthor_dcdc_2024,123,9,56,200,950,,,1.9,3.366,0.96,0.94
2024,,UMTK9M7T,chandwani_steady-state_2024,124,,,,,,,,,,
2024,,UQC4CB3D,jiang_variable_2024,125,,,,,,,,,,
2023,,TD87NBCF,jung_bi-directional_2023,126,,,,,,,,,,
2022,,JGT6HYHI,bai_bidirectional_2022,127,,,,,,,,,,
2022,ETH,RWTE5UH8,schaefer_highly_2022,128,10.5,15,250,500,430,,1.5,16.4,0.966,0.95
2019,Industry Delta,P9F42T2W,jang_isolated_2019,129,9.5,15.5,250,450,300,400,1,,0.961,0.95
2019,NITech,I3X9R3T7,matsumori_isolated_2019,130,10,15,140,260,300,,1.8,7.5,0.92,0.91
2016,Industry Toyota Central R&D Labs,RLTNRSCI,itoh_design_2016,131,10,15,140,260,300,,1,5.34,0.939,0.92
2015,,YGJRVSK7,jang_resonant_2015,132,,,,,,,,,,
2020,,P9IK439R,wei_resonant_2020,133,,,,,,,,,,
2005,,CBDRX4MT,jang_contactless_2005,134,,,,,,,,,,
2010,,TT7N6B8G,seong_synchronous_2010,135,,,,,,,,,,
2016,,G2PJRW6A,ye_resonant_2016,136,,,,,,,,,,
2021,,GD3XQT54,hu_dcdc_2021,137,,,,,,,,,,
2023,,F795X37K,jia_three-level_2023,138,,,,,,,,,,
2024,,AA6NSUPQ,liu_resonant_2024,139,,,,,,,,,,
2023,,YNMZM8IB,kumar_multiple-port_2023,140,,,,,,,,,,
2022,,T6XK9DEC,wang_power_2022,141,,,,,,,,,,
2019,,BJCGVFCQ,kim_power_2019,142,,,,,,,,,,
2021,,C2MGEB4S,sun_control_2021,143,,,,,,,,,,
2022,,VNDXIPRW,fromme_bidirektionaler_2022,144,,,,,,,,,,
2022,,HD7KS7VZ,rehlaender_power_2022,145,,,,,,,,,,
2021,,3IGW8YE7,zhang_isolated_2021,146,,,,,,,,,,
2024,,GEHIM5YQ,ausseresse_hybrid_2024,147,,,,,,,,,,
2024,,KM9IET27,zhang_isolated_2024,148,,,,,,,,,,
2022,,ZDQ5TIRL,yang_llc_2022,149,,,,,,,,,,
2012,,538ZBUQM,ngo_pulse_2012,150,,,,,,,,,,
2020,Paderborn Univ.,ZBZDX5W3,rehlaender_36_2020,151,10,16,240,420,80,,3.6,2.1,0.965,
2023,,N96TJ9C4,chandwani_fabrication_2023,152,,,,,,,,,,
2024,,BMNHS8HE,goudarzitaemeh_multilevel_2024,153,,,,,,,,,,
2024,Queen's,TFIPAVXE,goudarzitaemeh_extended_2024,154,45,60,350,450,200,,1.5,2.1,0.981,0.97
2017,,XUVEGWQL,sha_unequal_2017,155,,,,,,,,,,
2017,,59NUFKF4,sha_current-fed_2017,156,,,,,,,,,,
2022,,CKCQMXQY,yu_high_2022,157,,,,,,,,,,
2022,,2WD24EI4,wu_online_2022,158,10,16,220,360,31.7,100,1,,0.9215,
2021,,BEQJNSTJ,wu_online_2021,159,,,,,,,,,,
2021,,EMVEXHMX,chen_design_2021,160,9,16,250,450,20,150,2.5,,0.974,
2020,,HC82XFAY,zhu_two-stage_2020-1,161,,,,,,,,,,
