"Key","Publication Year","Title","Rights","Archive","Archive Location"
"QRAE92S3","2020","A high frequency CLLLC bi-directional series resonant converter DAB using an integrated PCB winding transformer","Industry Texas Instrument","Vin=380-600V, Vo=300-420V, fs=500kHz","Power=6.6kW, PD=4.64kW/L, Eff_pk=0.98, Eff_avg=0.965"
"UV25BGEU","2018","New PCB Winding ”Snake-Core” Matrix Transformer for Ultra-Compact Wide DC Input Voltage Range Hybrid B+DCM Resonant Server Power Supply","ETH","Vin=300-430V, Vo=12V, fs=300kHz","Power=3kW, PD=21.35kW/L, Eff_pk=0.94, Eff_avg = 0.93"
"DFKIQ9EP","2016","A Bidirectional Three-Level LLC Resonant Converter With PWAM Control","","",""
"B3426XEB","2021","A high-efficiency high-power-density on-board low-voltage DC–DC converter for electric vehicles application","Queen's","Vin=250-430V, Vo=9-16V, fs = 260-400kHz","Power=3kW, PD=3kW/L, Eff_pk=0.969,  Eff_avg=0.95, Eff_low=0.961"
"4CXST3VN","2012","A Novel ZVZCS Full-Bridge DC/DC Converter Used for Electric Vehicles","Queen's","Vin=235-431V, Vo=11.5-15V, fs=220kHz","Power=3kW, Eff_pk=0.975,  Eff_avg=0.955, Eff_low=0.93"
"JT9KULZ9","2023","Time-domain based Superposition Analysis for Triple Active Bridge and its Application for ZVS and Current Stress Optimization","","",""
"3R7JF6MT","2022","A Three-Port LCC Resonant Converter for the 380-V/48-V Hybrid DC System","","",""
"4WBEVQ6M","2013","Enhanced modulation strategy for a three-phase dual active bridge—boosting efficiency of an electric vehicle converter","RWTH","Vin=100-170V, Vo=10-16V, fs = 100kHz","Power=2kW, PD=1kW/L, Eff_pk=0.943,  Eff_avg=0.928, Eff_low=0.928-0.945(500W)"
"BYM6A8VT","2012","A soft switching three-phase current-fed bidirectional DC-DC converter with high efficiency over a wide input voltage range","FSU","Vin=24-48V, Vo=288V, fs = 40kHz","Power=6kW, PD=6.89kW/L, Eff_pk=0.964,  Eff_avg=0.94, Eff_low=0.92(2.5kW)"
"DSLA4AD5","2021","Zero Voltage Switching Criteria of Triple Active Bridge Converter","","",""
"Q4JUGPLB","2015","New interleaved current-fed resonant converter with significantly reduced high current side output filter for EV and HEV applications","","Vin=200-400V, Vo=12V, fs = 66kHz","Power=2kW, Eff_pk=0.959, Eff_avg = 0.94"
"6DHK6GK9","2023","Impedance Modeling and Stability Analysis of Triple-Active-Bridge-Converter-Based Renewable-Electricity-Hydrogen-Integrated Metro DC Traction Power System","","",""
"EXGB9V22","2023","New integrated DC–DC conversion system for electric vehicles","Yonsei Univ.","Vin=135-170V, Vo=12V, fs=90kHz","Power=1.2kW, Eff_pk=0.98, Eff_avg = 0.96"
"DUIHYTLW","2021","Three-Port Bidirectional Series-Resonant Converter With First-Harmonic-Synchronized PWM","","",""
"JJ6JL2TL","2017","Modified triple active bridge DC/AC three-phase converter with a series-resonant LC circuit on the AC-side","","",""
"LRYTFD6T","2022","Topology-Level Power Decoupling Three-Port Isolated Current-Fed Resonant DC-DC Converter","","",""
"AFHZAAB6","2023","Modeling and Closed-Loop Control of Three-Port Isolated Current-Fed Resonant DC–DC Converter","","",""
"CTCZ6XEF","2020","High-Efficiency SiC-Based Isolated Three-Port DC/DC Converters for Hybrid Charging Stations","","",""
"MAE2MLR7","2019","Hardware Decoupling and Autonomous Control of Series-Resonance-Based Three-Port Converters in DC Microgrids","","",""
"NNZGKVR9","2019","Open-Loop Power Sharing of Three-Port DC-DC Resonant Converters","","",""
"MRXWYHSZ","2022","A Series Resonant Three-Port DC–DC Converter With Decoupling Function and Magnetic Integration","","",""
"HLRKA33L","2023","Research on Power Decoupling and Parameter Mismatch of Three-Port Isolated Resonant DC–DC Converter Applied Switch-Controlled Capacitor","","",""
"BQ7TWZXF","2023","Design of a Three-Winding Transformer for Power Decoupling of a Three-Port Series Resonant Converter for an Integrated On-Board EV Charger","","",""
"TDF6N7DS","2008","Transformer-Coupled Multiport ZVS Bidirectional DC–DC Converter With Wide Input Range","","",""
"RIDI4FK9","2022","Novel Power Decoupling Methods for Three-Port Triple-Active-Bridge Converters","","",""
"4N6IIMKP","2012","Asymmetrical Duty Cycle Control and Decoupled Power Flow Design of a Three-port Bidirectional DC-DC Converter for Fuel Cell Vehicle Application","","",""
"Z75U2ZTZ","2023","Dynamic Performance Enhancement of a Triple Active Bridge With Power Decoupling-Based Configurable Model Predictive Control","","",""
"5Z8JUTZ8","2024","A Bidirectional DC–DC Converter With Direct Power Transfer","https://creativecommons.org/licenses/by-nc-nd/4.0/","",""
"MFEBJ7W7","2024","Model and control of a current-fed dual active bridge based ultrawide-voltage-range auxiliary power module for 400 V/800 V electric vehicles","UTK","Vin=180-900V, Vo=6-16V, fs=80kHz","Power=3.2kW, PD=1.38kW/L, Eff_pk=0.97,  Eff_avg=0.95"
"J6ZTSTD5","2012","Double-clamp ZVS converter interfaces high voltage traction batteries with 12V legacy system in hybrid and pure-electric vehicles","Industry Vicor","Vin=160-420V, Vo=12.5-15.5V","Power=0.45kW, PD=54kW/L, Eff_pk=0.934, Eff_avg = 0.94"
"DQGIR86L","2021","Power density optimization of 700 kHz GaN-based auxiliary power module for electric vehicles","Seoul Tech","Vin=200-310V, Vo=12.8-15.1V, fs=700kHz","Power=1.8kW, PD=8.1kW/L, Eff_pk=0.9187,  Eff_avg=0.9, Eff_low=0.9(800W)"
"EM88JF8J","2022","Auxiliary power module elimination in evs using dual inverter drivetrain","U of T","",""
"Y9XYILBK","2015","Evaluation of integrated active filter auxiliary power modules in electrified vehicle applications","McMaster","",""
"8EJKU7WA","2017","Applied integrated active filter auxiliary power module for electrified vehicles with single-phase onboard chargers","McMaster","",""
"R3HTMEH3","2023","Development of phase-shift full-bridge converter with integrated winding planar two-transformer for LDC","Inha Univ.","Vin=400-800V, Vo=13-15V, fs=200kHz","Power=2.1kW, PD=5.2kW/L, Eff_pk=0.954,  Eff_avg=0.935, Eff_low=0.95(1kW)"
"D58RNFFM","2015","Double-phase high-efficiency, wide load range high- voltage/low-voltage LLC DC/DC converter for electric/hybrid vehicles","Supélec","Vin=330-410V, Vo=14V, fs=250kHz","Power=2.5kW, PD=1kW/L, Eff_pk=0.95,  Eff_avg=0.94, Eff_low=0.943(1kW)"
"CQXKLCRV","2023","An ultra-high gain current-fed universal auxiliary power module for 400V/800V electric vehicles","UTK","",""
"ZDEUF5YT","2017","A primary full-integrated active filter auxiliary power module in electrified vehicles with single-phase onboard chargers","McMaster","Vin=100-320V, Vo=12V, fs = 100kHz","Power=0.72kW, PD=0.363kW/L, Eff_pk=0.935, Eff_avg = 0.90"
"K2PCKAIJ","2010","Accurate power loss model derivation of a high-current dual active bridge converter for an automotive application","ETH","Vin=240-450V, Vo=11-16V, fs = 100kHz","Power=2kW, PD=1.535kW/L(case), Eff_pk=0.956,  Eff_avg=0.92,"
"V3CSN6NF","2012","A load adaptive control approach for a zero-voltage-switching DC/DC converter used for electric vehicles","Queen's","",""
"NP642NW3","2009","Accurate small-signal model for the digital control of an automotive bidirectional dual active bridge","ETH","",""
