"Key","Publication Year","Title","Rights","Archive","Archive Location"
"CTWMB26L","2021","Design a 400 V–12 V 6 kW bidirectional auxiliary power module for electric or autonomous vehicles with fast precharge dynamics and zero DC-bias current","UTK","Vin=250-450V, Vo=10-16V, fs = 200kHz","Power=6kW, PD=2.22 kW/L, Eff_pk=0.962,  Eff_avg=0.94, Eff_low=0.96(1kW)"
"9DHSZ965","2014","Design and control of a bidirectional resonant DC–DC converter for automotive engine/battery hybrid power generators","Seoul Tech","Vin=380-400V, Vo=24-28V, fs=48kHz","Power=5kW,  Eff_pk=0.9513,  Eff_avg=0.934, Eff_low=0.9508(1.5kW)"
"P2FHZBZ2","2024","Power modules meet EV power demands that have increased by 20x","Industry Vicor","Vin=800V, Vo=13.8V","Power=4kW, PD=5.22kW/L, Eff_pk=0.95,  Eff_avg=0.95"
"2WD24EI4","2022","An Online Proactive Health Monitoring Method for Output Capacitors of Vehicular Auxiliary Converter","Tongji U","Vin=220-360V, Vo=10-16V, fs = 31.7-100kHz","Power=1kW, Eff_pk=0.9215"
"BEQJNSTJ","2021","An Online Proactive CTR Monitoring Method for Optocoupler in Automotive Auxiliary Converter","","",""
"EMVEXHMX","2021","Design and Implementation of Two-Stage Boost and Full-Bridge Resonant Converter for Wide-Range APMs","NCKU","Vin=250-450V, Vo=9-16V, fs = 20-150kHz","Power=2.5kW, Eff_pk=0.974"
"HC82XFAY","2020","Two-stage vs One-stage Design for A Bidirectional 400V/12V 6kW Auxiliary Power Module in Electric Vehicles","","",""
"FY9PSM5Q","2023","PCB Winding-Based Coupled Inductor for a High-Frequency DC/DC Converter with 99% Efficiency","","",""
"9QA82KSR","2023","GaN-Based 400V/48V DC-DC Converter with 97% Efficiency and PCB Magnetics for Automotive Applications","CPES","Vin=200-470V, Vo=36-48V, fs=500kHz","Power=2kW, PD=5kW/L, Eff_pk=0.966, Eff_avg = 0.95"
