Key,Publication Year,Title,Rights,Archive,Archive Location,citationKey,Number
DQGIR86L,2021.0,Power density optimization of 700 kHz GaN-based auxiliary power module for electric vehicles,Seoul Tech,"Vin=200-310V, Vo=12.8-15.1V, fs=700kHz","Power=1.8kW, PD=8.1kW/L, Eff_pk=0.9187,  Eff_avg=0.9, Eff_low=0.9(800W)",naradhipa_power_2021,12.0
SXC5KYEI,2020.0,Two-stage vs one-stage design for a bidirectional 400V/12V 6kW auxiliary power module in electric vehicles,UTK,,,zhu_two-stage_2020,13.0
EM88JF8J,2022.0,Auxiliary power module elimination in evs using dual inverter drivetrain,U of T,,,viana_auxiliary_2022,14.0
Y9XYILBK,2015.0,Evaluation of integrated active filter auxiliary power modules in electrified vehicle applications,McMaster,,,hou_evaluation_2015,15.0
8EJKU7WA,2017.0,Applied integrated active filter auxiliary power module for electrified vehicles with single-phase onboard chargers,McMaster,,,hou_applied_2017,16.0
R3HTMEH3,2023.0,Development of phase-shift full-bridge converter with integrated winding planar two-transformer for LDC,Inha Univ.,"Vin=400-800V, Vo=13-15V, fs=200kHz","Power=2.1kW, PD=5.2kW/L, Eff_pk=0.954,  Eff_avg=0.935, Eff_low=0.95(1kW)",lee_development_2023,17.0
7R47DTII,2021.0,Design of an isolated bidirectional DC–DC converter with built-in filters for high power density,Industry Toyota Central R&D Labs,,,inoue_design_2021,18.0
D58RNFFM,2015.0,"Double-phase high-efficiency, wide load range high- voltage/low-voltage LLC DC/DC converter for electric/hybrid vehicles",Supélec,"Vin=330-410V, Vo=14V, fs=250kHz","Power=2.5kW, PD=1kW/L, Eff_pk=0.95,  Eff_avg=0.94, Eff_low=0.943(1kW)",yang_double-phase_2015,19.0
CQXKLCRV,2023.0,An ultra-high gain current-fed universal auxiliary power module for 400V/800V electric vehicles,UTK,,,zhu_ultra-high_2023,20.0
ZDEUF5YT,2017.0,A primary full-integrated active filter auxiliary power module in electrified vehicles with single-phase onboard chargers,McMaster,"Vin=100-320V, Vo=12V, fs = 100kHz","Power=0.72kW, PD=0.363kW/L, Eff_pk=0.977, Eff_avg = 0.935",hou_primary_2017,21.0
K2PCKAIJ,2010.0,Accurate power loss model derivation of a high-current dual active bridge converter for an automotive application,ETH,"Vin=240-450V, Vo=11-16V, fs = 100kHz","Power=2kW, PD=1.535kW/L(case), Eff_pk=0.956,  Eff_avg=0.92,",krismer_accurate_2010,22.0
V3CSN6NF,2012.0,A load adaptive control approach for a zero-voltage-switching DC/DC converter used for electric vehicles,Queen'sU,,,pahlevaninezhad_load_2012,23.0
NP642NW3,2009.0,Accurate small-signal model for the digital control of an automotive bidirectional dual active bridge,ETH,,,krismer_accurate_2009,24.0
CTWMB26L,2021.0,Design a 400 V–12 V 6 kW bidirectional auxiliary power module for electric or autonomous vehicles with fast precharge dynamics and zero DC-bias current,UTK,"Vin=250-450V, Vo=10-16V, fs = 200kHz","Power=6kW, PD=2.6 kW/L, Eff_pk=0.962,  Eff_avg=0.94, Eff_low=0.96(1kW)",zhu_design_2021,25.0
F9S52GIS,2024.0,A spurious-free piezoelectric resonator based 3.2 kW DC–DC converter for EV on-board chargers,,,,stolt_spurious-free_2024,26.0
XVMBM6K6,2017.0,Design and operation considerations of three-phase dual active bridge converters for low-power applications with wide voltage ranges,RWTH,"Vin=260-450V, Vo=10-16V, fs = 100kHz","Power=3kW, PD=1kW/L, Eff_pk=0.956,  Eff_avg=0.921",hoek_design_2017,27.0
HF7QYUBU,2014.0,A wide bandgap device-based isolated quasi-switched-capacitor DC/DC converter,OSU,"Vin=300V, Vo=12V, fs=500-600kHz","Power=1kW, PD=0.957(case), Eff_pk=0.96, Eff_avg=0.91",zhang_wide_2014,28.0
V7Z7Q83H,2021.0,Two-mode low-voltage DC/DC converter with high and wide input voltage range,Inha Univ.,"Vin=350-800V, Vo=13.9V, fs=70kHz","Power=0.6kW, Eff_pk=0.926, Eff_avg = 0.91",lee_two-mode_2021,29.0
V8CX2XVU,2015.0,Design of a 2.5-kW 400/12-V high-efficiency DC/DC converter using a novel synchronous rectification control for electric vehicles,Kettering Univ.,"Vin=220-450V, Vo=6-16V, fs = 90-200kHz","Power=2.5kW,  Eff_pk=0.932,  Eff_avg=0.92, Eff_low=0.93(1kW)",duan_design_2015,30.0
9DHSZ965,2014.0,Design and control of a bidirectional resonant DC–DC converter for automotive engine/battery hybrid power generators,Seoul Tech,"Vin=380-400V, Vo=24-28V, fs=48kHz","Power=5kW,  Eff_pk=0.9513,  Eff_avg=0.934, Eff_low=0.9508(1.5kW)",park_design_2014,31.0
ZRTG4E9A,2013.0,Implementation of a novel digital active EMI technique in a DSP-based DC–DC digital controller used in electric vehicle (EV),Queen'sU,"Vin=235-431V, Vo=11.5-15V, fs=200kHz","Power=2kW,  Eff_pk=0.932,  Eff_avg=0.92, Eff_low=0.93",hamza_implementation_2013,32.0
3ZWI3EBS,2017.0,Topology and control scheme of OBC–LDC integrated power unit for electric vehicles,SKKU,,,kim_topology_2017,33.0
SGHAXNFW,2019.0,Zero‐voltage soft‐switching DC–DC converter‐based charger for LV battery in hybrid electric vehicles,http://onlinelibrary.wiley.com/termsAndConditions#vor,,,sayed_zerovoltage_2019,34.0
Y66NNDSW,2019.0,Implement of high efficiency achievement algorithm of LDC for xEV based on GaN HEMT,Daejin Univ.,,,kim_implement_2019,35.0
CDDHE4IB,2017.0,An integrated battery charger with high power density and efficiency for electric vehicles,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,kim_integrated_2017,36.0
CEX76RM7,2020.0,Wide-input-voltage-range 3 kW DC-DC converter with hybrid LLC & boundary / discontinuous mode control,ETH,,,knabben_wide-input-voltage-range_2020,37.0
PQYQ4RN5,2020.0,Integrated magnetics design for a full-bridge phase-shifted converter,National Ilan Univ.,"Vin=400V, Vo=12V, fs=80kHz","Power=1.7kW, PD=2.28kW/L(case), Eff_pk=0.967, Eff_avg = 0.955",liu_integrated_2020,38.0
IPJK8ESY,2012.0,Transformer integrated with additional resonant inductor for phase-shift full-bridge converter with primary clamping diodes,KAIST,"Vin=320-400V, Vo=12V, fs = 86kHz","Power=1.2kW, Eff_pk=0.957, Eff_avg = 0.945",cho_transformer_2012,39.0
3LPAZP55,2009.0,ZVS phase shift full bridge converter with separated primary winding,KAIST,"Vin=329-400V, Vo=12V, fs=86kHz","Power=1.2kW, Eff_pk=0.956, Eff_avg=0.945",young-do_kim_zvs_2009,40.0
EKQTKXEX,2022.0,New combined OBC and LDC system for electric vehicles with 800 V battery,Inha Univ.,,,lee_new_2022,41.0
XIJ2RVSH,2021.0,"DC-DC converters for transportation electrification: Topologies, control, and future challenges",,,,chen_dc-dc_2021,42.0
JK7FYUB3,2024.0,Identifying suitable PSFB topology for HVLV auxiliary power supply (APS) application in evs,Industry Wolfspeed,,,gandluru_identifying_2024,43.0
