"Key","Publication Year","Title","Rights","Archive","Archive Location"
"9DHSZ965","2014","Design and control of a bidirectional resonant DC–DC converter for automotive engine/battery hybrid power generators","Seoul Tech","Vin=380-400V, Vo=24-28V, fs=48kHz","Power=5kW,  Eff_pk=0.9513,  Eff_avg=0.934, Eff_low=0.9508(1.5kW)"
"ZRTG4E9A","2013","Implementation of a novel digital active EMI technique in a DSP-based DC–DC digital controller used in electric vehicle (EV)","Queen'sU","Vin=235-431V, Vo=11.5-15V, fs=200kHz","Power=2kW,  Eff_pk=0.932,  Eff_avg=0.92, Eff_low=0.93"
"3ZWI3EBS","2017","Topology and control scheme of OBC–LDC integrated power unit for electric vehicles","SKKU","",""
"SGHAXNFW","2019","Zero‐voltage soft‐switching DC–DC converter‐based charger for LV battery in hybrid electric vehicles","http://onlinelibrary.wiley.com/termsAndConditions#vor","",""
"Y66NNDSW","2019","Implement of high efficiency achievement algorithm of LDC for xEV based on GaN HEMT","Daejin Univ.","",""
"CDDHE4IB","2017","An integrated battery charger with high power density and efficiency for electric vehicles","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","",""
"CEX76RM7","2020","Wide-input-voltage-range 3 kW DC-DC converter with hybrid LLC & boundary / discontinuous mode control","ETH","",""
"PQYQ4RN5","2020","Integrated magnetics design for a full-bridge phase-shifted converter","National Ilan Univ.","Vin=400V, Vo=12V, fs=80kHz","Power=1.7kW, PD=2.28kW/L(case), Eff_pk=0.967, Eff_avg = 0.955"
"IPJK8ESY","2012","Transformer integrated with additional resonant inductor for phase-shift full-bridge converter with primary clamping diodes","KAIST","Vin=320-400V, Vo=12V, fs = 86kHz","Power=1.2kW, Eff_pk=0.957, Eff_avg = 0.945"
"3LPAZP55","2009","ZVS phase shift full bridge converter with separated primary winding","KAIST","Vin=329-400V, Vo=12V, fs=86kHz","Power=1.2kW, Eff_pk=0.956, Eff_avg=0.945"
"EKQTKXEX","2022","New combined OBC and LDC system for electric vehicles with 800 V battery","Inha Univ.","",""
"XIJ2RVSH","2021","DC-DC converters for transportation electrification: Topologies, control, and future challenges","","",""
"JK7FYUB3","2024","Identifying suitable PSFB topology for HVLV auxiliary power supply (APS) application in evs","Industry Wolfspeed","",""
"S8NBI4WD","2021","Self-adaptive synchronous rectifier control algorithm of phase-shifted full bridge current double rectifier converter","Zhejiang Univ.","Vin=280-400V, Vo=14V, fs=100kHz","Power=1.5kW, Eff_pk=0.93, Eff_avg = 0.913"
"W5I2SP4V","2024","Multiport converter based auxiliary power supply for heavy duty fuel cell power train","ORNL","",""
"V4B9BFMH","2021","An effective integration of APM and OBC with simultaneous operation and entire ZVS range for electric vehicle","Seoul Tech","",""
"WALCI7AK","2023","Two-transformer phase-shift full-bridge converter with a new rectifier for reducing conduction loss","Inha Univ.","Vin=300-400V, Vo=12V, fs=100kHz","Power=0.4kW, Eff_pk=0.937, Eff_avg = 0.91"
